SYMBOL,SECTOR
3IINFOTECH,COMPUTERS - SOFTWARE
ABCIL,CHEMICALS
ACROPETAL,COMPUTERS - SOFTWARE
ADHUNIK,STEEL - SPONGE IRON
ADSL,COMPUTERS - SOFTWARE MEDIUM/SMALL
AFTEK,COMPUTERS - SOFTWARE MEDIUM/SMALL
AHLUCONT,CONSTRUCTION & CONTRACTING - CIVIL
ALPHAGEO,OIL DRILLING AND EXPLORATION
AMAR,BREWERIES & DISTILLERIES
ANIKINDS,EDIBLE OILS & SOLVENT EXTRACTION
APLAB,TELECOMMUNICATIONS - EQUIPMENT
ARSSINFRA,CONSTRUCTION & CONTRACTING - CIVIL
ASIANELEC,ELECTRICALS
AUSTRAL,MISCELLANEOUS
BARTRONICS,MISCELLANEOUS
BEPL,PETROCHEMICALS
BHARTISHIP,SHIPPING
BINDALAGRO,FERTILISERS
BIRLACOT,TEXTILES - SPINNING - SYNTHETIC BLENDED
BIRLAMONEY,FINANCE - GENERAL
BIRLAPOWER,ELECTRIC EQUIPMENT
BRANDHOUSE,RETAIL
BSELINFRA,CONSTRUCTION & CONTRACTING - HOUSING
CEREBRAINT,COMPUTERS - HARDWARE
CHROMATIC,DYES & PIGMENTS
CLUTCHAUTO,AUTO ANCILLARIES
DRDATSONS,PHARMACEUTICALS
DYNATECH,COMPUTERS - SOFTWARE
EKC,PACKAGING
ESSARSHPNG,SHIPPING
ESTER,PACKAGING
EXCELCROP,PESTICIDES/AGRO CHEMICALS
FARMAXIND,TRADING
FCSSOFT,COMPUTERS - SOFTWARE MEDIUM/SMALL
FMNL,MISCELLANEOUS
FOURSOFT,COMPUTERS - SOFTWARE MEDIUM/SMALL
GAMMONIND,CONSTRUCTION & CONTRACTING - CIVIL
GARDENSILK,TEXTILES - WEAVING
GEMINI,MISCELLANEOUS
GEODESIC,COMPUTERS - SOFTWARE
GINNIFILA,TEXTILES - SPINNING - COTTON BLENDED
GKB,PERSONAL CARE
GLODYNE,COMPUTERS - SOFTWARE MEDIUM/SMALL
GOKEX,TEXTILES - READYMADE APPARELS
GOLDENTOBC,CIGARETTES
GREENFIRE,COMPUTERS - SOFTWARE MEDIUM/SMALL
HANUNG,MISCELLANEOUS
HINDOILEXP,OIL DRILLING AND EXPLORATION
HOVS,COMPUTERS - SOFTWARE MEDIUM/SMALL
IBWSL,MISCELLANEOUS
ICIL,TEXTILES - SPINNING - COTTON BLENDED
ICSA,COMPUTERS - SOFTWARE
INDBANK,FINANCE - GENERAL
INDOSOLAR,MISCELLANEOUS
INDSWFTLAB,PHARMACEUTICALS
INDSWFTLTD,PHARMACEUTICALS
INFODRIVE,COMPUTERS - SOFTWARE MEDIUM/SMALL
INVENTURE,FINANCE - INVESTMENTS
JCTEL,ELECTRICALS
JIKIND,TRADING
JPOLYINVST,FINANCE - GENERAL
KGL,MISCELLANEOUS
KIRIINDUS,DYES & PIGMENTS
KLGSYSTEL,COMPUTERS - SOFTWARE MEDIUM/SMALL
KOPDRUGS,PHARMACEUTICALS
KOVAI,HOSPITALS & MEDICAL SERVICES
LAKSHMIFIN,FINANCE - GENERAL
