SYMBOL,SECTOR
CGCL,some problem with symbol: CGCL
ORBTEXP,some problem with symbol: ORBTEXP
PILIND,some problem with symbol: PILIND
SUJANATWR,some problem with symbol: SUJANATWR
SWANENERGY,TRADING
SWARAJENG,ENGINES
SWELECTES,ELECTRIC EQUIPMENT
SYMPHONY,CONSUMER GOODS - WHITE GOODS
SYNCOM,PHARMACEUTICALS
SYNDIBANK,BANKS - PUBLIC SECTOR
TAJGVK,HOTELS
TAKE,COMPUTERS - SOFTWARE MEDIUM/SMALL
TALBROAUTO,AUTO ANCILLARIES
TALWALKARS,MISCELLANEOUS
TANFACIND,CHEMICALS
TANTIACONS,CONSTRUCTION & CONTRACTING - CIVIL
TARAJEWELS,DIAMOND CUTTING/PRECIOUS METALS/JEWELLERY
TATACHEM,CHEMICALS
TATACOFFEE,PLANTATIONS - TEA & COFFEE
TATACOMM,TELECOMMUNICATIONS - SERVICE
TATAELXSI,COMPUTERS - SOFTWARE
TATAGLOBAL,PLANTATIONS - TEA & COFFEE
TATAINVEST,FINANCE - INVESTMENTS
TATAMOTORS,AUTO - LCVS/HCVS
TATAMTRDVR,AUTO - LCVS/HCVS
TATAPOWER,POWER - GENERATION/DISTRIBUTION
TATASPONGE,STEEL - SPONGE IRON
TATASTEEL,STEEL - LARGE
TBZ,DIAMOND CUTTING/PRECIOUS METALS/JEWELLERY
TCI,FINANCE - INVESTMENTS
TCS,COMPUTERS - SOFTWARE
TDPOWERSYS,ENGINEERING - HEAVY
TECHM,COMPUTERS - SOFTWARE
TECHNO,CASTINGS & FORGINGS
TECHNOFAB,ENGINEERING
TEXINFRA,INFRASTRUCTURE - GENERAL
TEXMOPIPES,PLASTICS
TEXRAIL,INFRASTRUCTURE - GENERAL
TFCILTD,FINANCE - TERM LENDING INSTITUTIONS
TGBHOTELS,HOTELS
THANGAMAYL,DIAMOND CUTTING/PRECIOUS METALS/JEWELLERY
THEBYKE,FINANCE - GENERAL
THEMISMED,PHARMACEUTICALS
THERMAX,INFRASTRUCTURE - GENERAL
THINKSOFT,COMPUTERS - SOFTWARE
THIRUSUGAR,SUGAR
THOMASCOOK,MISCELLANEOUS
TI,STEEL - MEDIUM / SMALL
TIDEWATER,LUBRICANTS
TIIL,STEEL - MEDIUM / SMALL
TIJARIA,PLASTICS
TIL,BREWERIES & DISTILLERIES
TIMBOR,MISCELLANEOUS
TIMETECHNO,PACKAGING
TIMKEN,BEARINGS
TINPLATE,METALS - NON FERROUS
TIPSINDLTD,MEDIA & ENTERTAINMENT
TIRUMALCHM,CHEMICALS
TITAN,STEEL - MEDIUM / SMALL
TNPETRO,DETERGENTS
TNPL,PAPER
TORNTPHARM,PHARMACEUTICALS
TORNTPOWER,POWER - GENERATION/DISTRIBUTION
TREEHOUSE,COMPUTERS - SOFTWARE - TRAINING
TRENT,MISCELLANEOUS
TRF,ENGINEERING - HEAVY
TRIDENT,CONSTRUCTION & CONTRACTING - CIVIL
TRIGYN,COMPUTERS - SOFTWARE MEDIUM/SMALL
TRIL,MISCELLANEOUS
TRITURBINE,ENGINEERING - HEAVY
TRIVENI,GLASS & GLASS PRODUCTS
TTKHEALTH,PHARMACEUTICALS
TTKPRESTIG,DOMESTIC APPLIANCES
TTL,TEXTILES - HOSIERY/KNITWEAR
TTML,TELECOMMUNICATIONS - SERVICE
TUBEINVEST,MISCELLANEOUS
TULIP,TELECOMMUNICATIONS - SERVICE
TULSI,SUGAR
TV18BRDCST,MEDIA & ENTERTAINMENT
TVSELECT,COMPUTERS - HARDWARE
TVSMOTOR,AUTO - 2 & 3 WHEELERS
TVSSRICHAK,TYRES
TVTODAY,MEDIA & ENTERTAINMENT
TWL,INFRASTRUCTURE - GENERAL
UBENGG,ENGINEERING - HEAVY
UBHOLDINGS,TRADING
UBL,BREWERIES & DISTILLERIES
UCALFUEL,AUTO ANCILLARIES
UCOBANK,BANKS - PUBLIC SECTOR
UFLEX,PACKAGING
UGARSUGAR,SUGAR
UJAAS,POWER - TRANSMISSION/EQUIPMENT
ULTRACEMCO,CEMENT - MAJOR
UNICHEMLAB,PHARMACEUTICALS
UNIENTER,TRADING
UNIONBANK,BANKS - PUBLIC SECTOR
UNITECH,PACKAGING
UNITEDBNK,BANKS - PUBLIC SECTOR
UNITY,STEEL - MEDIUM / SMALL
UPERGANGES,SUGAR
UPL,CHEMICALS
USHAMART,STEEL - LARGE
USHERAGRO,FOOD PROCESSING
UTTAMSTL,STEEL - GP/GC SHEETS
UTTAMVALUE,STEEL - CR/HR STRIPS
VADILALIND,FOOD PROCESSING
VAIBHAVGBL,DIAMOND CUTTING/PRECIOUS METALS/JEWELLERY
VAKRANSOFT,COMPUTERS - SOFTWARE MEDIUM/SMALL
VALECHAENG,CONSTRUCTION & CONTRACTING - CIVIL
VALUEIND,CONSUMER GOODS - WHITE GOODS
VARDHACRLC,TEXTILES - MANMADE
VARDMNPOLY,TEXTILES - SPINNING - COTTON BLENDED
VARUN,CEMENT - MINI
VARUNSHIP,SHIPPING
VASCONEQ,CONSTRUCTION & CONTRACTING - REAL ESTATE
VENKEYS,MISCELLANEOUS
VENUSREM,PHARMACEUTICALS
VESUVIUS,CEMENT - PRODUCTS/BUILDING MATERIALS
VGUARD,MISCELLANEOUS
VHL,TEXTILES - SPINNING - SYNTHETIC BLENDED
VICEROY,HOTELS
VIDEOIND,CONSUMER GOODS - ELECTRONIC
VIJAYABANK,BANKS - PUBLIC SECTOR
VIJSHAN,CONSTRUCTION & CONTRACTING - HOUSING
VIKASGLOB,FINANCE - INVESTMENTS
VIMALOIL,EDIBLE OILS & SOLVENT EXTRACTION
VIMTALABS,MISCELLANEOUS
VINATIORGA,CHEMICALS
VINDHYATEL,CABLES - TELEPHONE
VINYLINDIA,CHEMICALS
VIPIND,PLASTICS
VISAKAIND,CEMENT - PRODUCTS/BUILDING MATERIALS
VISASTEEL,STEEL - LARGE
VISESHINFO,COMPUTERS - SOFTWARE MEDIUM/SMALL
VISUINTL,COMPUTERS - SOFTWARE MEDIUM/SMALL
VIVIMEDLAB,PHARMACEUTICALS
VKSPL,ENGINEERING
VLSFINANCE,FINANCE - LEASING & HIRE PURCHASE
VOLTAMP,POWER - TRANSMISSION/EQUIPMENT
VOLTAS,DIVERSIFIED
VSSL,STEEL - MEDIUM / SMALL
VSTIND,CIGARETTES
VSTTILLERS,AUTO - TRACTORS
VTL,TEXTILES - SPINNING - COTTON BLENDED
WABAG,INFRASTRUCTURE - GENERAL
WABCOINDIA,AUTO ANCILLARIES
WALCHANNAG,ENGINEERING - HEAVY
WEIZMANIND,TEXTILES - PROCESSING
WELCORP,STEEL - TUBES/PIPES
WELINV,FINANCE - INVESTMENTS
WELPROJ,CONSTRUCTION & CONTRACTING - CIVIL
WELSPUNIND,TEXTILES - WEAVING
WHEELS,AUTO ANCILLARIES
WHIRLPOOL,DOMESTIC APPLIANCES
WINDMACHIN,ENGINEERING - HEAVY
WINSOME,BREWERIES & DISTILLERIES
WINSOMEDJ,DIAMOND CUTTING/PRECIOUS METALS/JEWELLERY
WIPRO,COMPUTERS - SOFTWARE
WOCKPHARMA,PHARMACEUTICALS
WSI,ELECTRIC EQUIPMENT
WSTCSTPAPR,PAPER
WYETH,PHARMACEUTICALS
XLENERGY,TELECOMMUNICATIONS - EQUIPMENT
XPROINDIA,PACKAGING
YESBANK,BANKS - PRIVATE SECTOR
ZANDUREALT,CONSTRUCTION & CONTRACTING - REAL ESTATE
ZEEL,COMPUTERS - SOFTWARE - TRAINING
ZEELEARN,COMPUTERS - SOFTWARE - TRAINING
ZEEMEDIA,MEDIA & ENTERTAINMENT
ZENITHCOMP,COMPUTERS - HARDWARE
ZENSARTECH,COMPUTERS - SOFTWARE
ZICOM,ELECTRICALS
ZODIACLOTH,TEXTILES - READYMADE APPARELS
ZUARI,FERTILISERS
ZUARIGLOB,FERTILISERS
ZYDUSWELL,VANASPATI/OILS
ZYLOG,COMPUTERS - SOFTWARE MEDIUM/SMALL
