SYMBOL,FULLNAME,SECTOR
3IINFOTECH,3i Infotech Limited,COMPUTERS - SOFTWARE
ABCIL,Aditya Birla Chemicals (India) Limited,CHEMICALS
ACROPETAL,Acropetal Technologies Limited,COMPUTERS - SOFTWARE
ADHUNIK,Adhunik Metaliks Limited,STEEL - SPONGE IRON
ADSL,Allied Digital Services Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
AFTEK,Aftek Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
AHLUCONT,Ahluwalia Contracts (India) Limited,CONSTRUCTION & CONTRACTING - CIVIL
ALPHAGEO,Alphageo (India) Limited,OIL DRILLING AND EXPLORATION
AMAR,Amar Remedies Limited,BREWERIES & DISTILLERIES
ANIKINDS,Anik Industries Limited,EDIBLE OILS & SOLVENT EXTRACTION
APLAB,Aplab Limited,TELECOMMUNICATIONS - EQUIPMENT
ARSSINFRA,ARSS Infrastructure Projects Limited,CONSTRUCTION & CONTRACTING - CIVIL
ASIANELEC,Asian Electronics Limited,ELECTRICALS
AUSTRAL,Austral Coke & Projects Limited,MISCELLANEOUS
BARTRONICS,Bartronics India Limited,MISCELLANEOUS
BEPL,Bhansali Engineering Polymers Limited,PETROCHEMICALS
BHARTISHIP,Bharati Shipyard Limited,SHIPPING
BINDALAGRO,Oswal Chemicals & Fertilizers Limited,FERTILISERS
BIRLACOT,Birla Cotsyn (India) Limited,TEXTILES - SPINNING - SYNTHETIC BLENDED
BIRLAMONEY,Aditya Birla Money Limited,FINANCE - GENERAL
BIRLAPOWER,Birla Power Solutions Limited,ELECTRIC EQUIPMENT
BRANDHOUSE,Brandhouse Retails Limited,RETAIL
BSELINFRA,BSEL Infrastructure Realty Limited,CONSTRUCTION & CONTRACTING - HOUSING
CEREBRAINT,Cerebra Integrated Technologies Limited,COMPUTERS - HARDWARE
CHROMATIC,Chromatic India Limited,DYES & PIGMENTS
CLUTCHAUTO,Clutch Auto Limited,AUTO ANCILLARIES
