SYMBOL,FULLNAME
3IINFOTECH,3i Infotech Limited
ABCIL,Aditya Birla Chemicals (India) Limited
ACROPETAL,Acropetal Technologies Limited
ADHUNIK,Adhunik Metaliks Limited
ADSL,Allied Digital Services Limited
AFTEK,Aftek Limited
AHLUCONT,Ahluwalia Contracts (India) Limited
ALPHAGEO,Alphageo (India) Limited
AMAR,Amar Remedies Limited
ANIKINDS,Anik Industries Limited
APLAB,Aplab Limited
ARSSINFRA,ARSS Infrastructure Projects Limited
ASIANELEC,Asian Electronics Limited
AUSTRAL,Austral Coke & Projects Limited
BARTRONICS,Bartronics India Limited
BEPL,Bhansali Engineering Polymers Limited
BHARTISHIP,Bharati Shipyard Limited
BINDALAGRO,Oswal Chemicals & Fertilizers Limited
BIRLACOT,Birla Cotsyn (India) Limited
BIRLAMONEY,Aditya Birla Money Limited
BIRLAPOWER,Birla Power Solutions Limited
BRANDHOUSE,Brandhouse Retails Limited
BSELINFRA,BSEL Infrastructure Realty Limited
CEREBRAINT,Cerebra Integrated Technologies Limited
CHROMATIC,Chromatic India Limited
CLUTCHAUTO,Clutch Auto Limited
DRDATSONS,Dr. Datson's Labs Limited
DYNATECH,some problem with the quote DYNATECH
EKC,Everest Kanto Cylinder Limited
ESSARSHPNG,Essar Shipping Limited
ESTER,Ester Industries Limited
EXCELCROP,Excel Crop Care Limited
FARMAXIND,Farmax India Limited
FCSSOFT,FCS Software Solutions Limited
FMNL,Future Market Networks Limited
FOURSOFT,Four Soft Limited
GAMMONIND,Gammon India Limited
GARDENSILK,Garden Silk Mills Limited
GEMINI,Gemini Communication Limited
GEODESIC,Geodesic Limited
GINNIFILA,Ginni Filaments Limited
GKB,GKB Ophthalmics Limited
GLODYNE,Glodyne Technoserve Limited
GOKEX,Gokaldas Exports Limited
GOLDENTOBC,Golden Tobacco Limited
GREENFIRE,Green Fire Agri Commodities Limited
HANUNG,Hanung Toys and Textiles Limited
HINDOILEXP,Hindustan Oil Exploration Company Limited
HOVS,HOV Services Limited
IBWSL,Indiabulls Wholesale Services Limited
ICIL,Indo Count Industries Limited
ICSA,ICSA (India) Limited
INDBANK,Indbank Merchant Banking Services Limited
INDOSOLAR,Indosolar Limited
INDSWFTLAB,Ind-Swift Laboratories Limited
INDSWFTLTD,Ind-Swift Limited
INFODRIVE,Info-Drive Software Limited
INVENTURE,Inventure Growth & Securities Limited
JCTEL,JCT Electronics Limited
JIKIND,JIK Industries Limited
JPOLYINVST,Jindal Poly Investment and Finance Company Limited
KGL,Karuturi Global Limited
KIRIINDUS,Kiri Industries Limited
KLGSYSTEL,KLG Systel Limited
KOPDRUGS,KDL Biotech Limited
KOVAI,Kovai Medical Center & Hospital Limited
LAKSHMIFIN,The Lakshmi Finance & Industrial Corporation Limited
LOTUSEYE,Lotus Eye Care Hospital Limited
MARG,Marg Limited
MEGASOFT,Megasoft Limited
MELSTAR,Melstar Information Technologies Limited
MERCATOR,Mercator Limited
MIC,MIC Electronics Limited
MICROTECH,Micro Technologies (India) Limited
MIRCELECTR,MIRC Electronics Limited
MOREPENLAB,Morepen Laboratories Limited
MUKANDLTD,Mukand Limited
MUKTAARTS,Mukta Arts Limited
MVL,MVL Limited
NEHAINT,Neha International Limited
NGCT,Northgate Com Tech Limited
NITCO,Nitco Limited
NITESHEST,Nitesh Estates Limited
PARABDRUGS,Parabolic Drugs Limited
