SYMBOL,SERIES
3IINFOTECH,BE
ABCIL,BE
ACROPETAL,BE
ADHUNIK,BE
ADSL,BE
AFTEK,BE
AHLUCONT,BE
ALPHAGEO,BE
AMAR,BE
ANIKINDS,BE
APLAB,BE
ARSSINFRA,BE
ASIANELEC,BE
AUSTRAL,BE
BARTRONICS,BE
BEPL,BE
BHARTISHIP,BE
BINDALAGRO,BE
BIRLACOT,BE
BIRLAMONEY,BE
BIRLAPOWER,BE
BRANDHOUSE,BE
BSELINFRA,BE
CEREBRAINT,BE
CHROMATIC,BE
CLUTCHAUTO,BE
DRDATSONS,BE
DYNATECH,BE
EKC,BE
ESSARSHPNG,BE
ESTER,BE
EXCELCROP,BE
FARMAXIND,BE
FCSSOFT,BE
FMNL,BE
FOURSOFT,BE
GAMMONIND,BE
GARDENSILK,BE
GEMINI,BE
GEODESIC,BE
GINNIFILA,BE
GKB,BE
GLODYNE,BE
GOKEX,BE
GOLDENTOBC,BE
GREENFIRE,BE
HANUNG,BE
HINDOILEXP,BE
HOVS,BE
IBWSL,BE
ICIL,BE
ICSA,BE
INDBANK,BE
INDOSOLAR,BE
INDSWFTLAB,BE
INDSWFTLTD,BE
INFODRIVE,BE
INVENTURE,BE
JCTEL,BE
JIKIND,BE
JPOLYINVST,BE
KGL,BE
KIRIINDUS,BE
KLGSYSTEL,BE
KOPDRUGS,BE
KOVAI,BE
LAKSHMIFIN,BE
LOTUSEYE,BE
MARG,BE
MEGASOFT,BE
MELSTAR,BE
MERCATOR,BE
MIC,BE
MICROTECH,BE
MIRCELECTR,BE
MOREPENLAB,BE
MUKANDLTD,BE
MUKTAARTS,BE
MVL,BE
NEHAINT,BE
NGCT,BE
NITCO,BE
NITESHEST,BE
PARABDRUGS,BE
PARASPETRO,BE
PBAINFRA,BE
PETRONENGG,BE
PILANIINV,BE
PIRPHYTO,BE
PNC,BE
PRADIP,BE
PRESSMN,BE
PROZONECSC,BE
PUNJABCHEM,BE
RAJOIL,BE
RAMKY,BE
RBN,BE
REFEX,BE
REISIXTEN,BE
RMMIL,BE
SALSTEEL,BE
SAMTEL,BE
SANGHVIFOR,BE
SHIV-VANI,BE
SHLAKSHMI,BE
SHREEASHTA,BE
SHYAMTEL,BE
SKUMARSYNF,BE
SMPL,BE
SOUISPAT,BE
SPLIL,BE
SPMLINFRA,BE
SRGINFOTEC,BE
SUBEX,BE
SURYAPHARM,BE
TANLA,BE
TARAPUR,BE
TATAMETALI,BE
TCIDEVELOP,BE
TCPLTD,BE
TECPRO,BE
TNTELE,BE
TOKYOPLAST,BE
TRICOM,BE
TWILITAKA,BE
UTTAMSUGAR,BE
V2RETAIL,BE
VMART,BE
WANBURY,BE
WEBELSOLAR,BE
WILLAMAGOR,BE
XCHANGING,BE
ZENITHBIR,BE
ZENITHINFO,BE
JAICORPLTD,BL
STAN,DR
20MICRONS,EQ
3MINDIA,EQ
A2ZMES,EQ
AARTIDRUGS,EQ
AARTIIND,EQ
AARVEEDEN,EQ
ABAN,EQ
ABB,EQ
ABBOTINDIA,EQ
ABGSHIP,EQ
ABIRLANUVO,EQ
ACC,EQ
ACCELYA,EQ
ACE,EQ
ADANIENT,EQ
ADANIPORTS,EQ
ADANIPOWER,EQ
ADFFOODS,EQ
ADORWELD,EQ
ADVANIHOTR,EQ
ADVANTA,EQ
AEGISCHEM,EQ
AFL,EQ
AGCNET,EQ
AGRODUTCH,EQ
AHLEAST,EQ
AHLWEST,EQ
AHMEDFORGE,EQ
AIAENG,EQ
AIL,EQ
AJANTPHARM,EQ
AJMERA,EQ
AKSHOPTFBR,EQ
AKZOINDIA,EQ
ALBK,EQ
ALCHEM,EQ
ALEMBICLTD,EQ
ALKALI,EQ
ALKYLAMINE,EQ
ALLCARGO,EQ
ALOKTEXT,EQ
ALPSINDUS,EQ
ALSTOMT&D,EQ
AMARAJABAT,EQ
AMARJOTHI,EQ
AMBUJACEM,EQ
AMDIND,EQ
AMRUTANJAN,EQ
AMTEKAUTO,EQ
AMTEKINDIA,EQ
AMTL,EQ
ANANTRAJ,EQ
ANDHRABANK,EQ
ANDHRACEMT,EQ
ANDHRSUGAR,EQ
ANKITMETAL,EQ
ANSALAPI,EQ
ANSALHSG,EQ
ANTGRAPHIC,EQ
APARINDS,EQ
APCOTEXIND,EQ
APLAPOLLO,EQ
APLLTD,EQ
APOLLOHOSP,EQ
APOLLOTYRE,EQ
APPAPER,EQ
APTECHT,EQ
AQUA,EQ
ARCHIDPLY,EQ
ARCHIES,EQ
ARIES,EQ
ARROWTEX,EQ
ARSHIYA,EQ
ARVIND,EQ
ARVINDREM,EQ
ASAHIINDIA,EQ
ASAHISONG,EQ
ASAL,EQ
ASHAPURMIN,EQ
ASHIANA,EQ
ASHIMASYN,EQ
ASHOKA,EQ
ASHOKLEY,EQ
ASIANHOTNR,EQ
ASIANPAINT,EQ
ASIANTILES,EQ
ASSAMCO,EQ
ASTEC,EQ
ASTRAL,EQ
ASTRAMICRO,EQ
ASTRAZEN,EQ
ATFL,EQ
ATLANTA,EQ
ATLASCYCLE,EQ
ATUL,EQ
ATULAUTO,EQ
AURIONPRO,EQ
AUROPHARMA,EQ
AUTOAXLES,EQ
AUTOIND,EQ
AVANTI,EQ
AVTNPL,EQ
AXIS-IT&T,EQ
AXISBANK,EQ
AXISGOLD,EQ
BAFNAPHARM,EQ
BAGFILMS,EQ
BAJAJ-AUTO,EQ
BAJAJCORP,EQ
BAJAJELEC,EQ
BAJAJFINSV,EQ
BAJAJHIND,EQ
BAJAJHLDNG,EQ
BAJFINANCE,EQ
BALAJITELE,EQ
BALAMINES,EQ
BALKRISIND,EQ
BALLARPUR,EQ
BALMLAWRIE,EQ
BALPHARMA,EQ
BALRAMCHIN,EQ
BANCOINDIA,EQ
BANKBARODA,EQ
BANKBEES,EQ
BANKINDIA,EQ
BASF,EQ
BASML,EQ
BATAINDIA,EQ
BAYERCROP,EQ
BBL,EQ
BBTC,EQ
BECREL,EQ
BEDMUTHA,EQ
BEL,EQ
BEML,EQ
BERGEPAINT,EQ
BFINVEST,EQ
BFUTILITIE,EQ
BGLOBAL,EQ
BGRENERGY,EQ
BHAGYNAGAR,EQ
BHARATFORG,EQ
BHARATGEAR,EQ
BHARATRAS,EQ
BHARTIARTL,EQ
BHEL,EQ
BHUSANSTL,EQ
BIL,EQ
BILPOWER,EQ
BIMETAL,EQ
BINANIIND,EQ
BIOCON,EQ
BIRLACORPN,EQ
BLISSGVS,EQ
BLKASHYAP,EQ
BLUEDART,EQ
BLUESTARCO,EQ
BLUESTINFO,EQ
BOMDYEING,EQ
BOSCHLTD,EQ
BPCL,EQ
BPL,EQ
BRFL,EQ
BRIGADE,EQ
BRITANNIA,EQ
BROOKS,EQ
BSL,EQ
BSLGOLDETF,EQ
BSLIMITED,EQ
BSLNIFTY,EQ
BURNPUR,EQ
CADILAHC,EQ
CAIRN,EQ
CANBK,EQ
CANDC,EQ
CANFINHOME,EQ
CANTABIL,EQ
CAPF,EQ
CARBORUNIV,EQ
CAREERP,EQ
CARERATING,EQ
CASTROL,EQ
CCCL,EQ
CCL,EQ
CEATLTD,EQ
CEBBCO,EQ
CELEBRITY,EQ
CELESTIAL,EQ
CENTENKA,EQ
CENTRALBK,EQ
CENTUM,EQ
CENTURYPLY,EQ
CENTURYTEX,EQ
CERA,EQ
CESC,EQ
CGCL,EQ
CHAMBLFERT,EQ
CHEMFALKAL,EQ
CHENNPETRO,EQ
CHOLAFIN,EQ
CILNOVA,EQ
CIMMCO,EQ
CINELINE,EQ
CINEMAXIN,EQ
CIPLA,EQ
CLNINDIA,EQ
CMAHENDRA,EQ
CMC,EQ
COALINDIA,EQ
COLPAL,EQ
COMPUAGE,EQ
COMPUSOFT,EQ
CONCOR,EQ
CONSOFINVT,EQ
CORDSCABLE,EQ
COREEDUTEC,EQ
COROMANDEL,EQ
CORPBANK,EQ
COSMOFILMS,EQ
COX&KINGS,EQ
CRESTANI,EQ
CRISIL,EQ
CROMPGREAV,EQ
CTE,EQ
CUB,EQ
CUMMINSIND,EQ
CYBERTECH,EQ
DAAWAT,EQ
DABUR,EQ
DALMIABHA,EQ
DALMIASUG,EQ
DATAMATICS,EQ
DBCORP,EQ
DBREALTY,EQ
DBSTOCKBRO,EQ
DCB,EQ
DCM,EQ
DCMSRMCONS,EQ
DCW,EQ
DECCANCE,EQ
DEEPAKFERT,EQ
DEEPAKNTR,EQ
DEEPIND,EQ
DELTACORP,EQ
DEN,EQ
DENABANK,EQ
DHAMPURSUG,EQ
DHANBANK,EQ
DHANUKA,EQ
DHARSUGAR,EQ
DHFL,EQ
DIAPOWER,EQ
DICIND,EQ
DIGJAM,EQ
DISHMAN,EQ
DISHTV,EQ
DIVISLAB,EQ
DLF,EQ
DLINKINDIA,EQ
DOLPHINOFF,EQ
DPSCLTD,EQ
DPTL,EQ
DQE,EQ
DREDGECORP,EQ
DRREDDY,EQ
DSKULKARNI,EQ
DUNCANSLTD,EQ
DWARKESH,EQ
EASTSILK,EQ
EASUNREYRL,EQ
ECEIND,EQ
ECLERX,EQ
EDELWEISS,EQ
EDL,EQ
EDSERV,EQ
EDUCOMP,EQ
EICHERMOT,EQ
EIDPARRY,EQ
EIHAHOTELS,EQ
EIHOTEL,EQ
EIMCOELECO,EQ
ELDERPHARM,EQ
ELECON,EQ
ELECTCAST,EQ
ELECTHERM,EQ
ELGIEQUIP,EQ
ELGIRUBCO,EQ
ELNET,EQ
EMAMIINFRA,EQ
EMAMILTD,EQ
EMCO,EQ
EMKAY,EQ
EMMBI,EQ
EMPEESUG,EQ
ENERGYDEV,EQ
ENGINERSIN,EQ
ENIL,EQ
EON,EQ
ERAINFRA,EQ
EROSMEDIA,EQ
ESABINDIA,EQ
ESCORTS,EQ
ESL,EQ
ESSAROIL,EQ
ESSARPORTS,EQ
ESSDEE,EQ
ESSELPACK,EQ
EUROTEXIND,EQ
EVEREADY,EQ
EVERESTIND,EQ
EVERONN,EQ
EXCELINDUS,EQ
EXCELINFO,EQ
EXIDEIND,EQ
FACT,EQ
FAGBEARING,EQ
FCEL,EQ
FDC,EQ
FEDDERLOYD,EQ
FEDERALBNK,EQ
FIEMIND,EQ
FINANTECH,EQ
FINCABLES,EQ
FINPIPE,EQ
FIRSTLEASE,EQ
FKONCO,EQ
FLEXITUFF,EQ
FLFL,EQ
FMGOETZE,EQ
FORTIS,EQ
FOSECOIND,EQ
FRL,EQ
FRLDVR,EQ
FSL,EQ
GABRIEL,EQ
GAEL,EQ
GAIL,EQ
GAL,EQ
GALLANTT,EQ
GALLISPAT,EQ
GAMMNINFRA,EQ
GANDHITUBE,EQ
GANESHHOUC,EQ
GARWALLROP,EQ
GATI,EQ
GAYAPROJ,EQ
GDL,EQ
GEECEE,EQ
GEINDSYS,EQ
GENESYS,EQ
GENUSPOWER,EQ
GEOJITBNPP,EQ
GEOMETRIC,EQ
GESHIP,EQ
GHCL,EQ
GICHSGFIN,EQ
GILLANDERS,EQ
GILLETTE,EQ
GIPCL,EQ
GITANJALI,EQ
GKWLIMITED,EQ
GLAXO,EQ
GLENMARK,EQ
GLOBOFFS,EQ
GLOBUSSPR,EQ
GLORY,EQ
GMBREW,EQ
GMDCLTD,EQ
GMRINFRA,EQ
GNFC,EQ
GOACARBON,EQ
GODFRYPHLP,EQ
GODREJCP,EQ
GODREJIND,EQ
GODREJPROP,EQ
GOENKA,EQ
GOKUL,EQ
GOLDBEES,EQ
GOLDIAM,EQ
GOLDINFRA,EQ
GOLDSHARE,EQ
GOLDTECH,EQ
GPIL,EQ
GPPL,EQ
GRANULES,EQ
GRAPHITE,EQ
GRASIM,EQ
GRAVITA,EQ
GREAVESCOT,EQ
GREENPLY,EQ
GREENPOWER,EQ
GRINDWELL,EQ
GRUH,EQ
GSCLCEMENT,EQ
GSFC,EQ
GSKCONS,EQ
GSPL,EQ
GSS,EQ
GTL,EQ
GTLINFRA,EQ
GTNIND,EQ
GTNTEX,EQ
GTOFFSHORE,EQ
GUFICBIO,EQ
GUJALKALI,EQ
GUJAPOLLO,EQ
GUJFLUORO,EQ
GUJNRECOKE,EQ
GUJNREDVR,EQ
GUJRATGAS,EQ
GULFOILCOR,EQ
GVKPIL,EQ
HARITASEAT,EQ
HARRMALAYA,EQ
HATHWAY,EQ
HAVELLS,EQ
HBLPOWER,EQ
HCC,EQ
HCIL,EQ
HCL-INSYS,EQ
HCLTECH,EQ
HDFC,EQ
HDFCBANK,EQ
HDFCMFGETF,EQ
HDIL,EQ
HEG,EQ
HEIDELBERG,EQ
HELIOSMATH,EQ
HERCULES,EQ
HERITGFOOD,EQ
HEROMOTOCO,EQ
HEXATRADEX,EQ
HEXAWARE,EQ
HFCL,EQ
HGS,EQ
HIKAL,EQ
HIL,EQ
HIMATSEIDE,EQ
HINDALCO,EQ
HINDCOMPOS,EQ
HINDCOPPER,EQ
HINDDORROL,EQ
HINDMOTORS,EQ
HINDPETRO,EQ
HINDUJAVEN,EQ
HINDUNILVR,EQ
HINDZINC,EQ
HIRAFERRO,EQ
HIRECT,EQ
HITACHIHOM,EQ
HITECHGEAR,EQ
HITECHPLAS,EQ
HMT,EQ
HMVL,EQ
HNGSNGBEES,EQ
HOCL,EQ
HONAUT,EQ
HONDAPOWER,EQ
HORIZONINF,EQ
HOTELEELA,EQ
HOTELRUGBY,EQ
HSIL,EQ
HTMEDIA,EQ
HUBTOWN,EQ
